Region,At Current Prices 2023,At Constant 2018 Prices 2023
National Capital Region (NCR),527485,351586
Cordillera Administrative Region (CAR),779,325
Region I (Ilocos Region),1084,720
Region II (Cagayan Valley),3092,1938
Region III (Central Luzon),42574,28657
Region IV-A (CALABARZON),302099,199766
MIMAROPA Region,47,35
Region V (Bicol Region),19,14
Region VI (Western Visayas),1465,919
Region VII (Central Visayas),268400,179152
Region VIII (Eastern Visayas),326,225
Region IX (Zamboanga Peninsula),353,217
Region X (Northern Mindanao),307502,197022
Region XI (Davao Region),8272,4180
Region XII (SOCCSKSARGEN),632,390
Region XIII (Caraga),1820,1297
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),33416,23554
